Duration (in seconds),What is your age (# years)?,What is your gender? - Selected Choice,In which country do you currently reside?,"Are you currently a student? (high school, university, or graduate)","What products or platforms did you find to be most helpful when you first started studying data science?  (Select all that apply) - Selected Choice - Online courses (Coursera, EdX, etc)","What products or platforms did you find to be most helpful when you first started studying data science?  (Select all that apply) - Selected Choice - Video platforms (YouTube, Twitch, etc)","What products or platforms did you find to be most helpful when you first started studying data science?  (Select all that apply) - Selected Choice - Kaggle (notebooks, competitions, etc)",What is the highest level of formal education that you have attained or plan to attain within the next 2 years?,"Have you ever published any academic research (papers, preprints, conference proceedings, etc)?",For how many years have you been writing code and/or programming?,What programming languages do you use on a regular basis? (Select all that apply) - Selected Choice - Python,Which of the following integrated development environments (IDE's) do you use on a regular basis?  (Select all that apply) - Selected Choice -  Jupyter Notebook,Do you use any of the following data visualization libraries on a regular basis?  (Select all that apply) - Selected Choice -  Matplotlib ,For how many years have you used machine learning methods?
796,5,0,34,0,0,0,1,3,2,6,1,1,1,9
8632,0,0,20,1,0,1,0,0,1,0,0,1,1,8
507,2,4,21,1,0,1,0,3,2,3,0,0,0,2
1610,4,0,13,0,0,0,0,7,1,7,1,1,1,9
502,4,0,51,1,0,0,1,3,2,0,0,0,0,0
561,3,0,20,1,0,0,1,1,0,3,1,1,1,8
341,1,0,13,1,1,0,0,0,1,0,0,1,0,0
895,4,0,20,0,0,1,1,3,0,1,0,0,0,5
198,3,0,51,0,1,0,1,3,0,6,1,1,1,9
336,2,4,35,1,0,0,1,1,2,3,1,1,0,2
162,0,0,20,1,1,0,1,0,1,5,1,1,1,7
148,3,0,35,1,0,1,1,6,1,6,1,1,1,9
642,0,0,41,1,0,1,0,0,1,0,0,0,0,8
992,5,0,35,0,1,0,0,0,1,1,0,1,1,8
427,0,0,20,1,0,1,0,0,1,0,0,0,0,0
547,0,4,34,1,1,0,1,2,1,5,0,1,1,7
344,0,0,10,1,1,0,1,4,1,5,0,1,1,7
834,3,0,20,1,0,1,0,6,1,4,0,0,1,0
150,4,4,20,0,1,1,1,2,1,5,0,1,1,9
232,1,0,33,1,0,0,1,3,2,5,1,1,1,9
283,1,4,9,1,1,0,1,2,1,5,0,1,1,8
492,5,0,26,0,1,1,0,4,1,5,0,0,1,7
389,1,0,54,1,1,0,1,3,0,3,0,1,0,8
214,3,4,7,0,0,1,1,0,1,5,0,1,1,7
13731,3,0,20,0,1,1,1,0,1,3,0,1,0,7
592,2,0,20,0,0,1,0,3,0,0,0,0,0,0
632,2,0,41,1,0,1,0,3,2,5,0,0,0,8
473,1,0,20,1,1,0,1,0,1,0,0,0,0,0
224,1,0,20,1,1,0,1,3,0,5,0,1,1,9
449,5,0,34,0,0,1,1,4,1,5,0,1,1,7
611,0,0,20,1,0,1,0,0,1,0,0,0,0,8
422,7,0,7,0,0,0,0,6,1,1,0,0,0,2
168,8,4,55,0,1,0,1,3,0,6,1,1,1,9
985,3,0,26,0,1,0,0,3,2,4,0,0,0,4
162,4,0,55,0,1,1,1,3,0,6,1,1,1,9
565,0,0,20,1,1,0,0,0,1,0,0,0,0,8
1067,2,0,14,1,1,0,0,3,2,3,0,0,0,0
498,0,0,20,1,1,0,0,0,1,0,0,0,0,8
146,1,0,20,1,0,0,1,3,0,3,1,0,0,8
252,0,4,20,1,1,1,0,0,1,0,0,0,0,0
132,0,4,13,1,0,0,1,7,1,7,1,1,1,9
203,1,0,44,1,1,0,1,0,1,5,1,1,1,7
296,0,0,20,1,1,1,0,0,1,0,0,0,0,8
207,3,0,15,1,0,1,1,3,0,4,1,0,1,9
5261,2,0,20,0,1,0,1,7,1,7,1,1,1,9
125,2,4,55,1,0,1,0,3,0,0,0,0,1,9
309,3,0,20,0,0,1,0,2,1,5,0,0,0,8
963,4,0,20,0,0,1,1,3,2,4,0,0,1,7
551,1,0,20,0,0,1,0,3,0,4,0,0,0,2
297,0,0,20,1,1,0,1,0,1,0,0,1,0,2
267,1,0,51,1,0,0,1,0,1,3,0,0,0,9
193,0,0,20,1,1,1,1,4,1,0,0,0,0,8
3524,1,0,35,0,1,1,0,2,1,5,0,1,0,8
207,2,0,21,1,1,1,1,3,2,5,1,1,1,9
401,4,0,55,1,1,1,1,3,0,1,0,0,0,1
1147,3,4,35,0,0,0,0,5,2,4,1,1,1,6
299,2,0,45,1,1,1,0,3,0,0,0,0,0,0
464,1,0,35,1,1,1,1,3,0,6,1,1,1,9
512,5,0,56,1,1,0,0,1,2,1,0,0,0,6
1074,2,0,20,1,1,1,0,0,1,0,0,1,1,6
808,7,0,24,0,0,0,0,3,0,1,0,0,0,1
380,0,0,56,1,0,1,0,6,1,5,0,0,0,7
195,3,0,20,1,0,1,0,1,2,5,0,0,0,7
3870,4,0,20,0,0,0,0,3,0,4,0,0,0,5
326,3,0,20,0,1,0,0,3,2,4,0,0,0,4
126,1,0,20,1,1,0,1,3,2,5,1,1,1,9
458,0,0,20,1,0,0,1,0,1,5,0,0,1,8
176,2,0,8,1,1,0,1,2,1,4,0,0,0,7
525,1,0,20,1,0,0,0,0,1,3,0,1,0,7
356,5,4,7,0,0,0,0,3,0,1,0,0,1,7
268,0,1,9,1,1,0,1,0,1,0,0,0,0,0
577,1,0,29,0,0,1,0,0,1,0,1,1,1,7
378,3,0,45,1,0,0,0,1,0,3,0,0,0,8
883,3,0,26,0,1,1,1,3,0,3,0,0,0,4
139,4,4,20,0,0,1,0,7,1,7,1,1,1,9
398,1,0,34,0,1,0,1,2,1,5,1,1,1,5
23199,3,0,55,1,0,1,0,1,2,4,0,0,0,2
1722,6,0,2,0,0,0,1,1,2,3,0,1,0,0
148,0,0,20,1,1,0,0,6,1,6,1,1,1,9
218,2,0,55,0,0,1,0,1,2,4,0,0,0,0
246,4,0,25,0,1,0,1,3,0,0,1,1,1,7
227,1,0,25,1,1,1,1,3,0,4,0,0,0,0
307,1,4,21,1,1,0,1,4,1,6,1,1,1,9
1141,8,0,10,0,0,1,0,3,0,1,0,0,0,1
41827,4,0,5,1,0,0,0,3,0,4,0,0,0,7
666,4,0,51,0,0,1,0,3,2,4,0,1,0,4
749,6,0,20,0,0,1,0,3,0,1,0,0,0,5
234,1,0,27,1,0,1,0,0,1,3,0,1,1,9
417,1,0,26,1,1,0,1,0,1,0,0,1,0,2
442,5,0,46,0,1,1,0,1,2,1,0,1,0,6
334,1,0,20,1,1,1,1,0,1,0,0,0,0,0
286,0,0,22,1,1,1,1,3,0,0,0,0,0,0
339,2,0,20,0,0,0,1,0,1,5,1,0,1,7
1726727,5,0,6,0,0,0,1,5,0,6,1,1,1,9
179,6,0,5,1,0,1,1,3,2,0,0,0,1,9
140,1,0,55,0,1,0,1,3,0,4,0,1,1,9
229,0,4,35,1,1,0,0,4,1,5,1,1,1,7
394,2,0,5,1,0,0,0,3,2,1,0,0,0,6
528,2,0,35,0,0,0,0,3,0,6,1,1,1,9
212,1,0,20,1,1,1,1,2,1,5,0,1,0,8
351,4,0,5,0,0,0,0,4,1,5,0,0,0,8
419,0,0,20,1,0,0,0,0,1,5,0,0,0,8
535,1,0,20,1,0,1,0,0,1,5,0,0,0,8
210,2,4,24,1,1,0,1,0,1,0,0,1,0,8
373,6,4,46,0,0,1,0,3,0,5,1,1,1,7
252,0,0,9,1,0,1,0,0,1,3,0,0,1,0
398,3,4,20,0,0,1,1,3,2,5,1,1,1,7
213,0,0,20,1,1,0,0,0,1,0,0,1,1,9
4756,4,4,33,0,0,0,1,3,2,5,0,1,1,7
738,2,0,26,0,0,0,1,3,0,0,0,0,0,8
86673,3,0,20,0,0,1,0,0,1,0,0,0,0,2
143,2,0,20,1,0,0,1,2,1,6,1,1,1,9
244,3,0,51,0,1,0,1,6,1,5,0,1,1,7
446,7,0,55,0,1,1,0,6,1,4,0,1,0,8
574,4,0,20,0,0,1,1,3,0,1,0,1,0,8
264,0,4,20,1,0,1,1,0,1,0,0,1,1,8
185,3,0,25,0,0,0,0,3,0,0,0,0,1,9
332,1,0,50,1,0,1,0,3,0,5,0,0,0,8
269,1,4,34,1,1,0,0,3,0,5,1,1,1,8
564,1,0,55,0,1,1,0,0,1,3,0,1,0,0
223,0,0,33,1,0,0,1,0,1,3,0,0,0,8
128,5,0,36,1,1,0,0,2,1,0,1,1,1,7
1105,6,0,20,0,1,0,0,1,2,3,0,0,0,2
143,3,4,55,0,0,0,0,3,0,4,0,0,1,9
375,1,0,20,1,1,1,1,3,0,0,0,0,0,8
192,0,4,20,1,1,0,1,0,1,5,1,1,1,7
377,6,0,45,1,1,1,1,1,2,3,0,1,0,2
3032,2,4,16,0,0,1,0,0,1,3,0,0,0,8
154,4,4,20,0,1,1,0,2,1,3,1,1,1,9
200,2,4,10,1,1,0,1,2,1,6,1,1,1,9
260,0,0,20,1,1,1,0,0,1,5,0,0,0,8
405,0,0,35,1,0,1,0,6,1,5,1,1,1,7
335,0,0,41,1,0,0,0,0,1,3,0,1,0,0
185,2,0,31,1,1,0,0,3,0,3,1,0,1,7
593,4,0,34,0,1,0,0,3,2,2,1,1,1,6
833,2,0,20,0,1,1,1,3,0,0,0,0,0,0
228,6,0,46,1,0,0,1,6,1,5,0,0,1,7
345,2,0,55,1,0,1,0,3,2,3,0,0,0,0
307,2,0,30,1,0,0,1,0,1,0,0,1,1,8
165,3,4,20,0,0,1,0,2,1,1,0,0,0,9
382,1,0,10,0,0,1,0,0,1,5,0,0,0,7
412,9,0,10,0,0,0,1,3,0,4,0,0,0,8
244,2,0,55,0,0,0,0,0,1,3,0,0,0,2
529,6,0,26,0,1,1,1,2,1,2,0,0,0,2
398,0,0,55,1,0,0,1,0,1,0,0,0,0,8
425,1,0,20,1,1,1,0,0,1,5,0,0,0,8
142,0,4,21,1,1,0,1,0,1,6,1,1,1,9
775,2,0,20,0,0,1,1,0,1,0,0,0,1,8
393,2,0,33,1,0,0,0,0,1,5,0,0,1,8
310,0,4,20,1,0,1,1,2,1,0,0,0,1,9
932,4,0,55,0,0,1,1,1,2,1,0,1,0,6
299,3,0,34,0,1,0,1,1,2,6,1,1,1,9
356,1,0,20,0,0,0,0,3,0,4,0,0,0,2
1156,3,0,20,0,1,1,0,4,1,3,1,0,1,8
251,9,0,1,0,1,0,1,3,2,2,0,0,1,1
477,3,0,55,0,0,0,0,3,2,3,0,1,0,4
200,3,0,9,1,1,1,1,1,2,0,0,0,0,2
297,6,0,55,0,0,1,1,3,2,1,0,0,1,0
466,1,0,9,1,1,0,0,3,0,0,0,0,1,0
368,1,4,20,1,0,1,0,3,0,5,0,0,0,8
447,6,0,55,0,0,1,0,3,0,2,0,0,0,1
148,0,0,36,1,1,1,1,6,1,0,0,1,1,8
392,1,0,51,0,0,0,1,0,1,3,0,1,1,7
727,2,0,20,0,1,1,1,3,2,5,0,0,0,0
516,4,0,20,1,0,1,0,1,2,2,0,1,0,5
371,0,2,20,1,1,1,1,0,1,0,0,1,0,8
340,2,2,20,0,1,1,1,0,1,6,1,1,1,9
172,0,4,20,1,0,0,1,0,1,5,0,0,0,8
246,2,4,44,1,0,0,1,6,1,6,1,1,1,9
1092,6,0,26,0,1,0,0,3,0,0,0,0,0,0
2937,1,4,34,1,0,1,1,0,1,0,1,1,1,8
232,1,0,33,1,0,0,0,0,1,3,0,1,0,0
2051,1,0,20,1,0,1,0,0,1,0,0,0,0,0
466,3,4,51,0,1,0,1,3,0,6,1,1,1,9
320,1,0,20,1,1,0,1,0,1,0,0,1,1,7
1842,0,0,20,1,0,1,1,0,1,5,0,0,0,8
167,2,4,10,1,1,0,1,3,0,6,1,1,1,9
180,0,0,9,1,0,0,1,3,2,3,0,1,1,7
1024,2,0,20,1,0,1,0,3,0,3,0,0,0,0
420,0,0,20,0,0,1,0,0,1,5,0,0,1,7
24866,1,0,20,1,1,0,1,7,1,7,1,1,1,9
432,1,0,20,1,1,0,0,3,2,3,0,0,0,0
291,3,0,7,1,1,0,0,3,2,5,0,0,0,7
953,1,4,20,1,1,1,1,3,0,0,0,0,0,8
145,1,0,31,1,1,1,0,3,0,0,1,1,1,7
334,2,0,48,1,0,1,1,3,0,0,0,0,0,0
1634,6,0,34,0,1,0,1,1,2,2,0,1,0,5
507,7,0,54,0,0,1,1,0,1,2,0,0,0,6
635,7,0,26,0,0,0,0,0,1,0,0,0,0,2
213,0,4,20,1,0,1,0,0,1,0,0,0,0,8
670,6,0,55,0,1,1,1,0,1,2,0,1,0,0
132,0,2,20,1,1,1,1,0,1,5,0,1,1,9
232,2,0,24,1,0,0,0,0,1,5,0,1,0,8
814,7,4,20,0,0,1,0,5,2,2,0,0,0,0
1330,4,0,20,0,1,1,0,5,2,1,0,0,0,6
256,5,0,55,0,0,1,0,4,1,5,0,0,0,8
336,3,0,14,0,0,0,1,3,0,0,1,1,1,8
484,3,0,34,1,1,1,0,3,0,3,0,0,1,5
533,2,4,7,1,0,1,0,3,0,3,0,0,0,8
190,5,0,1,1,0,0,1,0,1,1,0,0,1,7
438,3,4,51,0,1,0,1,2,1,4,0,1,0,6
136,3,4,33,1,1,1,1,3,0,6,1,1,1,9
537,1,0,27,1,0,1,0,3,0,5,0,1,1,0
305,1,0,20,1,0,1,0,0,1,0,0,0,0,0
631,3,4,50,0,0,1,0,3,2,5,0,0,0,0
200,0,4,20,1,1,0,0,0,1,5,0,1,0,7
12147,4,0,10,1,0,1,1,3,0,2,0,1,0,0
525,2,0,37,0,1,0,0,2,1,0,0,1,1,0
472,1,0,20,1,1,1,0,3,0,0,0,1,1,0
195,1,4,20,1,1,0,1,0,1,0,0,1,1,7
143,2,0,26,0,1,0,1,0,1,0,0,1,1,9
2422,6,4,13,0,0,0,0,1,0,1,0,1,0,8
166,2,0,20,1,0,1,0,3,0,5,1,1,1,9
774,3,0,34,1,0,1,0,3,2,0,0,0,0,8
317,5,0,8,0,0,0,0,6,1,5,1,0,1,8
356,5,0,5,0,1,1,0,3,0,1,1,1,0,7
269,2,0,20,1,0,0,0,3,2,5,0,0,0,8
601,2,0,20,0,0,1,0,0,1,0,0,0,0,0
673,4,0,5,0,0,0,1,3,0,4,0,1,0,6
552,7,0,10,0,0,1,1,4,1,6,1,1,1,9
3316,7,0,12,1,1,1,0,1,2,6,1,1,1,9
972,9,0,26,0,1,0,0,2,1,1,0,1,0,4
280,0,0,20,1,1,0,1,0,1,5,0,0,1,7
1082,7,0,45,0,0,1,0,2,1,2,0,0,0,5
153,2,0,55,1,0,0,0,0,1,4,0,0,0,5
514,2,0,33,0,1,1,1,3,2,0,0,0,0,0
865,2,0,20,1,1,0,1,2,1,5,1,1,1,7
174,1,4,56,1,0,0,1,0,1,6,1,1,1,9
532,5,4,55,0,1,0,1,0,1,6,1,1,1,9
214,4,4,55,0,0,0,1,3,2,5,1,1,1,7
216,1,0,20,1,1,0,0,0,1,5,0,0,1,8
608,1,0,20,0,0,1,0,3,2,3,0,0,0,8
643,3,0,21,0,0,1,0,0,1,4,1,1,1,7
342,0,0,20,1,0,1,0,0,1,5,0,0,0,8
162,1,0,20,1,1,0,1,3,0,0,0,0,1,9
659,4,0,26,1,1,0,0,0,1,5,0,0,0,8
2043,0,0,20,1,1,0,1,0,1,0,0,0,1,8
365,0,0,20,1,0,1,0,3,0,0,0,0,0,8
258,2,0,20,1,1,0,0,1,0,5,0,1,1,8
753,4,0,26,0,0,0,1,0,1,1,0,1,0,6
271,8,0,20,0,1,0,1,0,1,6,1,1,1,9
724,2,0,7,1,0,1,0,1,2,4,0,0,0,8
269,1,4,35,1,1,0,0,3,0,0,1,1,1,7
925,3,0,8,1,0,1,0,3,0,3,0,0,0,4
397,0,4,20,1,1,0,0,2,1,0,0,0,0,8
364,0,0,20,1,1,0,0,0,1,3,0,1,0,8
362,7,0,20,0,1,0,0,3,2,5,0,1,0,8
883,6,4,20,0,0,1,1,3,0,2,0,0,0,6
516,4,4,36,0,1,1,0,5,2,0,0,0,0,0
280,1,0,20,1,0,1,1,7,1,7,1,1,1,9
313,0,0,20,1,1,1,0,0,1,3,0,0,0,2
881,1,4,20,1,0,1,1,0,1,0,0,0,0,8
648,1,4,34,0,0,0,0,3,2,3,0,0,0,5
276,6,0,49,0,1,0,1,3,0,6,1,1,1,9
309,0,0,20,1,1,0,0,0,1,3,0,0,0,0
792,2,0,13,0,1,0,0,0,1,0,0,0,0,0
248,5,0,53,0,1,1,0,1,0,1,1,1,1,0
380,0,0,20,1,0,1,0,0,1,3,0,0,0,0
341,3,0,13,0,0,0,1,2,1,6,1,1,1,9
173,1,0,20,1,1,0,0,0,1,5,0,0,0,8
413,7,0,46,0,1,1,0,0,1,0,1,1,1,8
443,0,4,20,1,1,0,1,0,1,0,1,1,1,7
171,6,0,10,1,1,0,1,7,1,7,1,1,1,9
713,5,0,20,0,1,1,0,3,0,5,0,0,1,8
228,2,0,24,1,1,1,1,3,0,3,0,0,0,8
214,3,0,20,0,1,1,1,5,0,4,0,1,0,0
213,2,0,20,1,0,1,0,0,1,3,0,1,0,2
257,6,0,55,1,1,0,0,3,2,6,1,1,1,9
380,0,0,55,0,0,0,1,0,1,5,0,1,0,7
138,0,0,20,1,0,0,1,3,0,6,1,1,1,9
7995,2,0,26,0,1,0,1,3,0,6,1,1,1,9
283,1,0,20,0,1,1,1,3,0,4,1,1,1,2
207,2,0,20,1,0,1,1,0,1,5,0,0,0,8
180,0,0,10,1,1,1,1,6,1,6,1,1,1,9
156,3,0,20,1,1,0,1,7,1,7,1,1,1,9
274,2,0,16,1,0,0,0,3,2,4,0,0,0,8
3242,3,0,6,0,1,1,0,1,2,3,0,0,1,8
139,3,0,55,1,0,1,1,0,1,5,0,1,1,7
631,1,4,13,0,1,0,1,0,1,5,0,0,0,2
213,1,0,20,1,0,1,0,0,1,5,0,1,0,7
920,4,4,22,0,1,1,1,3,2,5,0,0,0,2
256,0,0,20,1,1,0,1,0,1,5,0,0,1,7
275,1,0,3,1,0,1,0,0,1,3,0,1,0,8
416,0,4,20,1,1,0,0,2,1,5,0,1,1,7
344,6,4,55,0,0,1,1,5,2,4,1,1,1,4
280,5,0,55,1,0,0,1,0,1,1,0,0,0,2
607,4,0,34,0,0,1,0,0,1,4,0,0,0,0
1143,2,0,20,1,0,1,0,0,1,5,0,0,0,0
505,1,0,48,1,0,1,0,6,1,0,0,0,0,8
467,1,0,20,1,1,1,1,3,0,3,0,1,1,9
564,4,0,8,0,1,1,1,3,2,4,0,0,0,2
507,9,0,55,0,0,1,0,3,0,2,0,0,0,2
940,9,0,32,0,1,0,1,3,0,2,0,0,0,8
581,3,0,57,1,0,1,0,3,0,4,0,1,1,2
344,2,0,13,1,0,1,0,3,0,0,1,1,0,8
2481,2,0,17,0,0,1,0,3,0,6,1,1,1,9
409,6,0,14,1,1,0,1,1,2,6,1,1,1,9
610,4,0,55,0,0,1,1,3,0,3,0,0,0,4
643,6,0,55,0,1,1,0,3,0,1,1,0,1,8
354,1,0,39,0,0,1,1,3,2,3,0,0,0,8
663,5,0,55,0,0,1,0,0,1,5,0,1,1,0
313,5,0,55,0,1,1,1,0,1,2,0,0,1,4
427,9,0,36,0,0,0,1,4,1,3,1,1,1,7
1027277,0,4,13,1,0,1,1,2,1,6,1,1,1,9
368,2,3,49,0,0,1,0,0,1,0,0,1,1,8
357,2,0,51,1,1,1,1,3,2,4,1,1,1,8
510,2,0,20,1,0,1,0,3,0,0,0,0,0,8
244,0,0,20,1,0,1,0,0,1,0,0,0,1,7
703,6,0,45,0,1,0,1,1,2,2,0,1,1,9
164,4,0,54,1,0,1,0,6,1,5,1,1,1,7
442,7,0,48,0,0,0,1,3,2,2,0,0,0,5
348,1,0,20,1,1,1,0,3,2,3,0,0,0,0
597,0,4,20,1,0,0,1,6,1,5,0,1,1,8
636,0,0,20,1,1,0,1,0,1,5,0,1,1,7
353,3,0,20,0,0,1,0,3,2,0,0,0,0,0
135,2,0,20,1,1,1,1,0,1,6,1,1,1,9
833,2,0,20,0,1,0,0,1,0,0,0,0,0,0
1266,6,0,20,0,0,0,0,3,0,1,0,0,0,0
399,0,0,13,1,1,1,0,0,1,5,0,0,0,8
381,2,0,20,1,0,0,0,3,0,5,0,0,0,0
576,10,0,55,0,0,0,1,1,2,2,0,1,1,4
509,1,0,20,0,0,1,0,0,1,3,0,0,0,8
421,3,0,20,0,0,1,0,3,0,4,0,1,0,8
9752,3,0,55,0,0,1,0,0,1,4,0,0,1,5
181,1,0,55,1,1,1,0,0,1,5,0,0,0,7
382,2,4,55,1,0,1,0,6,1,5,1,1,1,8
172,4,2,55,0,0,0,0,6,1,5,1,1,1,9
2750,6,0,33,0,1,0,1,3,0,6,1,1,1,9
731,1,0,21,0,0,1,0,0,1,3,0,0,0,4
659,2,0,20,0,0,1,0,3,2,0,0,0,0,8
267,6,0,34,1,0,0,1,3,0,1,0,1,1,7
901670,2,0,33,1,1,1,0,0,1,5,0,0,1,7
212,1,0,20,1,0,1,0,0,1,0,0,0,0,2
586,3,4,22,0,1,0,1,1,0,4,0,1,0,5
1233,6,4,20,0,0,0,0,3,0,1,0,0,0,2
124,1,4,7,1,0,1,0,3,0,0,0,1,1,9
358,4,4,20,1,0,1,0,1,2,1,0,0,0,4
371,2,0,14,1,0,0,0,3,2,0,0,1,1,0
327,0,0,35,1,0,1,0,1,0,5,0,0,0,8
597,2,0,14,0,1,0,1,0,1,3,0,0,0,0
620,2,4,20,0,0,1,0,3,0,5,0,0,0,8
826,2,0,20,0,1,1,1,3,0,3,0,0,0,0
359,2,4,20,0,1,1,0,0,1,3,0,0,0,8
340,3,0,34,1,0,1,0,3,0,4,0,0,0,5
19030,3,4,51,0,0,1,0,3,2,4,0,0,0,5
300,4,0,49,0,0,0,1,1,2,1,1,1,0,7
726,7,0,49,0,0,1,0,1,2,2,0,0,0,0
209,2,4,20,0,1,0,0,3,0,3,0,0,0,9
1026,3,4,20,0,1,0,0,3,0,5,0,0,0,8
476,5,4,15,0,1,0,1,1,2,2,0,0,0,1
125,7,4,55,1,0,1,1,0,1,5,1,1,1,7
1502,4,0,3,1,0,1,0,5,0,1,0,0,0,0
8830,8,0,45,0,0,0,0,1,2,1,0,0,0,2
476,6,4,5,1,0,0,1,6,1,5,1,1,1,8
385,4,4,55,1,0,1,1,6,1,5,1,1,1,8
415,1,0,34,1,0,0,1,0,1,0,0,0,0,8
10406,6,0,41,0,1,0,0,4,1,1,0,0,0,1
1140,4,0,20,0,0,0,0,1,2,4,0,0,0,2
891,2,0,10,0,0,1,0,6,1,3,1,0,1,8
7149,3,0,10,1,0,1,1,3,0,0,0,0,1,8
411,4,0,30,1,0,1,1,3,0,0,0,0,0,0
202,0,0,25,1,1,1,0,0,1,0,0,1,0,8
214,3,0,21,0,1,1,1,2,1,0,1,1,1,7
303,0,0,41,1,1,0,0,0,1,3,0,0,0,0
193,0,0,20,1,0,0,1,0,1,0,0,1,0,8
505,1,0,56,0,0,1,0,0,1,0,0,1,0,8
206,0,0,20,1,1,0,0,0,1,0,0,1,0,0
1463,6,0,20,0,0,1,0,3,2,1,0,0,0,2
580,6,0,38,0,0,0,1,3,0,1,0,0,1,6
1705,7,0,26,0,1,0,1,2,1,3,0,0,0,7
751,4,4,5,0,1,0,1,1,2,1,0,0,0,1
332,3,0,21,1,0,1,0,0,1,6,1,1,1,9
170,0,0,20,1,0,1,1,0,1,0,0,0,0,8
143,0,0,34,1,1,0,1,4,1,4,1,1,1,7
964,2,4,22,1,1,0,0,3,2,5,0,0,0,8
799,3,0,32,0,1,0,1,3,2,1,0,1,0,6
389,6,4,29,0,0,0,0,1,2,4,0,0,0,2
305,0,0,20,1,0,1,0,0,1,0,0,0,0,0
355,1,4,20,0,0,1,0,0,1,3,0,0,0,4
755,2,0,34,1,1,1,1,3,0,0,0,0,0,8
705,5,4,24,0,0,0,1,1,2,4,0,0,0,1
410,0,4,20,1,0,1,0,3,0,5,0,0,0,8
